SLT01_PXD013011-C1R0.raw	W10.raw
SLT01_PXD016028_C12R2.mzML	easy_nlc_CBI_lignin_48hrs_FT_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C13R0.mzML	easy_nlc_CBI_lignin_48hrs_OMV_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C13R1.mzML	easy_nlc_CBI_lignin_48hrs_OMV_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C13R2.mzML	easy_nlc_CBI_lignin_48hrs_OMV_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C14R0.mzML	easy_nlc_CBI_lignin_48hrs_SN_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C14R1.mzML	easy_nlc_CBI_lignin_48hrs_SN_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C14R2.mzML	easy_nlc_CBI_lignin_48hrs_SN_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C15R0.mzML	easy_nlc_CBI_lignin_72hrs_FT_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C15R1.mzML	easy_nlc_CBI_lignin_72hrs_FT_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C15R2.mzML	easy_nlc_CBI_lignin_72hrs_FT_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C16R0.mzML	easy_nlc_CBI_lignin_72hrs_OMV_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C16R1.mzML	easy_nlc_CBI_lignin_72hrs_OMV_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C16R2.mzML	easy_nlc_CBI_lignin_72hrs_OMV_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C17R0.mzML	easy_nlc_CBI_lignin_72hrs_SN_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C17R1.mzML	easy_nlc_CBI_lignin_72hrs_SN_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C17R2.mzML	easy_nlc_CBI_lignin_72hrs_SN_rep3_c18_ac25cm_01.mzML
SLT01_PXD016114_C0R0F0.mzML	48411_P-putida_APL_D1_A_Super_30_Prot_Run1_27May15_Lynx_15-01-23.mzML
SLT01_PXD016114_C0R0F1.mzML	48411_P-putida_APL_D1_A_Super_30_Prot_Run2_27May15_Lynx_15-01-24.mzML
SLT01_PXD016114_C0R1F0.mzML	48411_P-putida_APL_D1_B_Super_31_Prot_Run1_27May15_Lynx_15-01-23.mzML
SLT01_PXD016114_C0R1F1.mzML	48411_P-putida_APL_D1_B_Super_31_Prot_Run2_22May15_Lynx_15-01-24.mzML
SLT01_PXD016114_C1R0F0.mzML	48411_P-putida_APL_D1_A_Pellet_30_Prot_Run1_27May15_Tiger_15-03-05.mzML
SLT01_PXD016114_C1R0F1.mzML	48411_P-putida_APL_D1_A_Pellet_30_Prot_Run2_27May15_Tiger_15-03-06.mzML
SLT01_PXD016114_C1R1F0.mzML	48411_P-putida_APL_D1_B_Pellet_31_Prot_Run1_27May15_Tiger_15-03-05.mzML
SLT01_PXD016114_C1R1F1.mzML	48411_P-putida_APL_D1_B_Pellet_31_Prot_Run2_27May15_Tiger_15-03-06.mzML
SLT01_PXD016114_C2R0F0.mzML	48411_P-putida_APL_D3_A_Super_38_Prot_Run1_27May15_Lynx_15-01-23.mzML
SLT01_PXD016114_C2R0F1.mzML	48411_P-putida_APL_D3_A_Super_38_Prot_Run2_27May15_Lynx_15-01-24.mzML
SLT01_PXD016114_C2R1F0.mzML	48411_P-putida_APL_D3_B_Super_39_Prot_Run1_22May15_Lynx_15-01-23.mzML
SLT01_PXD016114_C2R1F1.mzML	48411_P-putida_APL_D3_B_Super_39_Prot_Run2_27May15_Lynx_15-01-24.mzML
SLT01_PXD016114_C3R0F0.mzML	48411_P-putida_APL_D3_A_Pellet_38_Prot_Run1_27May15_Tiger_15-03-05.mzML
SLT01_PXD016114_C3R0F1.mzML	48411_P-putida_APL_D3_A_Pellet_38_Prot_Run2_27May15_Tiger_15-03-06.mzML
SLT01_PXD016114_C3R1F0.mzML	48411_P-putida_APL_D3_B_Pellet_39_Prot_Run1_27May15_Tiger_15-03-05.mzML
SLT01_PXD016114_C3R1F1.mzML	48411_P-putida_APL_D3_B_Pellet_39_Prot_Run2_27May15_Tiger_15-03-06.mzML
SLT01_PXD016114_C4R0F0.mzML	48411_P-putida_APL_D5_A_Super_46_Prot_Run1_27May15_Lynx_15-01-23.mzML
SLT01_PXD016114_C4R0F1.mzML	48411_P-putida_APL_D5_A_Super_46_Prot_Run2_27May15_Lynx_15-01-24.mzML
SLT01_PXD016114_C4R1F0.mzML	48411_P-putida_APL_D5_B_Super_47_Prot_Run1_27May15_Lynx_15-01-23.mzML
SLT01_PXD016114_C4R1F1.mzML	48411_P-putida_APL_D5_B_Super_47_Prot_Run2_27May15_Lynx_15-01-24.mzML
SLT01_PXD016114_C5R0F0.mzML	48411_P-putida_APL_D5_A_Pellet_46_Prot_Run1_27May15_Tiger_15-03-05.mzML
SLT01_PXD016114_C5R0F1.mzML	48411_P-putida_APL_D5_A_Pellet_46_Prot_Run2_27May15_Tiger_15-03-06.mzML
SLT01_PXD016114_C5R1F0.mzML	48411_P-putida_APL_D5_B_Pellet_47_Prot_Run1_27May15_Tiger_15-03-05.mzML
SLT01_PXD016114_C5R1F1.mzML	48411_P-putida_APL_D5_B_Pellet_47_Prot_Run2_27May15_Tiger_15-03-06.mzML
SLT01_PXD016114_C6R0F0.mzML	48411_P-putida_M9_D1_A_Super_03_Prot_Run1_22May15_Lynx_15-01-23.mzML
SLT01_PXD016114_C6R0F1.mzML	48411_P-putida_M9_D1_A_Super_03_Prot_Run2_27May15_Lynx_15-01-24.mzML
SLT01_PXD016114_C6R1F0.mzML	48411_P-putida_M9_D1_B_Super_04_Prot_Run1_22May15_Lynx_15-01-23.mzML
SLT01_PXD016114_C6R1F1.mzML	48411_P-putida_M9_D1_B_Super_04_Prot_Run2_27May15_Lynx_15-01-24.mzML
SLT01_PXD016114_C7R0F0.mzML	48411_P-putida_M9_D1_A_Pellet_03_Prot_Run1_27May15_Tiger_15-03-05.mzML
SLT01_PXD016114_C7R0F1.mzML	48411_P-putida_M9_D1_A_Pellet_03_Prot_Run2_27May15_Tiger_15-03-06.mzML
SLT01_PXD016114_C7R1F0.mzML	48411_P-putida_M9_D1_B_Pellet_04_Prot_Run1_27May15_Tiger_15-03-05.mzML
SLT01_PXD016114_C7R1F1.mzML	48411_P-putida_M9_D1_B_Pellet_04_Prot_Run2_27May15_Tiger_15-03-06.mzML
SLT01_PXD016114_C8R0F0.mzML	48411_P-putida_M9_D3_A_Super_11_Prot_Run1_22May15_Lynx_15-01-23.mzML
SLT01_PXD016114_C8R0F1.mzML	48411_P-putida_M9_D3_A_Super_11_Prot_Run2_22May15_Lynx_15-01-24.mzML
SLT01_PXD016114_C8R1F0.mzML	48411_P-putida_M9_D3_B_Super_12_Prot_Run1_27May15_Lynx_15-01-23.mzML
SLT01_PXD016114_C8R1F1.mzML	48411_P-putida_M9_D3_B_Super_12_Prot_Run2_27May15_Lynx_15-01-24.mzML
SLT01_PXD016114_C9R0F0.mzML	48411_P-putida_M9_D3_A_Pellet_11_Prot_Run1_27May15_Tiger_15-03-05.mzML
SLT01_PXD016114_C9R0F1.mzML	48411_P-putida_M9_D3_A_Pellet_11_Prot_Run2_27May15_Tiger_15-03-06.mzML
SLT01_PXD016114_C9R1F0.mzML	48411_P-putida_M9_D3_B_Pellet_12_Prot_Run1_27May15_Tiger_15-03-05.mzML
SLT01_PXD016114_C9R1F1.mzML	48411_P-putida_M9_D3_B_Pellet_12_Prot_Run2_27May15_Tiger_15-03-06.mzML
SLT01_PXD016114_C10R0F0.mzML	48411_P-putida_M9_D5_A_Super_20_Prot_Run1_27May15_Lynx_15-01-23.mzML
SLT01_PXD016114_C10R0F1.mzML	48411_P-putida_M9_D5_A_Super_20_Prot_Run2_27May15_Lynx_15-01-24.mzML
SLT01_PXD016114_C10R1F0.mzML	48411_P-putida_M9_D5_B_Super_21_Prot_Run1_27May15_Lynx_15-01-23.mzML
SLT01_PXD016114_C10R1F1.mzML	48411_P-putida_M9_D5_B_Super_21_Prot_Run2_27May15_Lynx_15-01-24.mzML
SLT01_PXD016114_C11R0F0.mzML	48411_P-putida_M9_D5_A_Pellet_20_Prot_Run1_27May15_Tiger_15-03-05.mzML
SLT01_PXD016114_C11R0F1.mzML	48411_P-putida_M9_D5_A_Pellet_20_Prot_Run2_27May15_Tiger_15-03-06.mzML
SLT01_PXD016114_C11R1F0.mzML	48411_P-putida_M9_D5_B_Pellet_21_Prot_Run1_27May15_Tiger_15-03-05.mzML
SLT01_PXD016114_C11R1F1.mzML	48411_P-putida_M9_D5_B_Pellet_21_Prot_Run2_27May15_Tiger_15-03-06.mzML
